problem,sampler,local_rank,number,hv,state,archive_prune_policy,archive_unbounded,blxab_alpha,blxab_beta,cauchy_gamma,crossover,crossover_alpha,crossover_eta,crossover_prob,fuzzy_d,gaussian_sigma,initializer,laplace_a,laplace_b,levy_beta,levy_scale,mutation,mutation_eta,mutation_prob_factor,nonuniform_perturbation,offspring_ratio,pcx_sigma_eta,pcx_sigma_zeta,pop_size,power_index,repair,scatter_base_size_factor,selection,selection_size,simplex_epsilon,undx_eta,undx_zeta,uniform_perturb,use_external_archive,wa_alpha,user_attrs_config,user_attrs_fidelity_trace,duration
zcat1,nsgaii,1,0,0.24670131860948388,COMPLETE,knn,True,0.947612790885847,0.0972711478734799,0.43286554155414453,pcx,0.6926532420285153,13.253927408733391,0.8782576247970428,1.68374617071461,0.3624763003255469,halton,-0.40054655819087137,0.42101212785296505,0.9956225710115232,0.056023865337471876,linked_polynomial,32.17550063685145,2.1691036284029,0.2318728738745634,0.25,0.41889213982924234,0.24909088325071183,45,2.674406861903406,clip,0.1,ranking,8,0.6956887650132341,0.11250192923899083,0.2467877273420499,0.07740835074616717,True,0.44635779286465493,"{'pop_size': 45, 'offspring_ratio': 0.25, 'selection': 'ranking', 'use_external_archive': True, 'initializer': 'halton', 'crossover': 'pcx', 'crossover_prob': 0.8782576247970428, 'mutation': 'linked_polynomial', 'mutation_prob_factor': 2.1691036284029, 'mutation_eta': 32.17550063685145, 'repair': 'clip', 'archive_unbounded': True, 'archive_prune_policy': 'knn', 'selection_size': 8, 'crossover_eta': 13.253927408733391, 'crossover_alpha': 0.6926532420285153, 'blxab_alpha': 0.947612790885847, 'blxab_beta': 0.0972711478734799, 'wa_alpha': 0.44635779286465493, 'laplace_a': -0.40054655819087137, 'laplace_b': 0.42101212785296505, 'fuzzy_d': 1.68374617071461, 'pcx_sigma_eta': 0.41889213982924234, 'pcx_sigma_zeta': 0.24909088325071183, 'undx_zeta': 0.2467877273420499, 'undx_eta': 0.11250192923899083, 'simplex_epsilon': 0.6956887650132341, 'nonuniform_perturbation': 0.2318728738745634, 'gaussian_sigma': 0.3624763003255469, 'cauchy_gamma': 0.43286554155414453, 'uniform_perturb': 0.07740835074616717, 'levy_beta': 0.9956225710115232, 'levy_scale': 0.056023865337471876, 'power_index': 2.674406861903406, 'scatter_base_size_factor': 0.1}","[{'step': 0, 'budget': 5000, 'score': 0.16581516884797107, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.23567492350733252, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.24670131860948388, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:02:24.877823
zcat1,nsgaii,1,1,0.20268446455473396,COMPLETE,hv,True,0.17657281257175994,0.04007443602984284,0.22551800735618427,blx_alpha,0.5123592840265866,26.67229153734235,0.6442105238002902,1.0232440207117033,0.1790613538672168,scatter,-0.5398123839886044,1.4180672566115013,0.5604384186716926,0.07417830092801311,gaussian,28.76529972111958,1.8504608882438718,0.41658019125708334,1.0,0.03378890675305357,0.24458552863430225,22,4.099477487781741,random,0.3,sus,9,0.663975701867522,0.9294265330198829,0.3601032880923778,0.198536932946034,False,0.9376222362509641,"{'pop_size': 22, 'offspring_ratio': 1.0, 'selection': 'sus', 'use_external_archive': False, 'initializer': 'scatter', 'crossover': 'blx_alpha', 'crossover_prob': 0.6442105238002902, 'mutation': 'gaussian', 'mutation_prob_factor': 1.8504608882438718, 'mutation_eta': 28.76529972111958, 'repair': 'random', 'archive_unbounded': True, 'archive_prune_policy': 'hv', 'selection_size': 9, 'crossover_eta': 26.67229153734235, 'crossover_alpha': 0.5123592840265866, 'blxab_alpha': 0.17657281257175994, 'blxab_beta': 0.04007443602984284, 'wa_alpha': 0.9376222362509641, 'laplace_a': -0.5398123839886044, 'laplace_b': 1.4180672566115013, 'fuzzy_d': 1.0232440207117033, 'pcx_sigma_eta': 0.03378890675305357, 'pcx_sigma_zeta': 0.24458552863430225, 'undx_zeta': 0.3601032880923778, 'undx_eta': 0.9294265330198829, 'simplex_epsilon': 0.663975701867522, 'nonuniform_perturbation': 0.41658019125708334, 'gaussian_sigma': 0.1790613538672168, 'cauchy_gamma': 0.22551800735618427, 'uniform_perturb': 0.198536932946034, 'levy_beta': 0.5604384186716926, 'levy_scale': 0.07417830092801311, 'power_index': 4.099477487781741, 'scatter_base_size_factor': 0.3}","[{'step': 0, 'budget': 5000, 'score': 0.05467626958017502, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.16955742101012541, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.20268446455473396, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:00:40.107198
zcat1,nsgaii,1,2,0.0,COMPLETE,knn,True,0.2389736264293345,0.26132404122971253,0.2057174907269991,whole_arithmetic,0.4933247881915316,25.161196893303767,0.935577512295424,1.0622010970903142,0.27075656100500706,random,0.5002100232016964,0.29194799815054046,1.5361898882555636,0.06564921397315694,gaussian,34.9887885583239,1.7013315465286203,0.3299915548703993,0.5,0.05515767719372017,0.24350511060444474,48,4.7579542516260585,random,0.5,boltzmann,7,0.33503344295487136,0.16973912218092133,0.9944946851873433,0.45437573265663855,False,0.4193200674831731,"{'pop_size': 48, 'offspring_ratio': 0.5, 'selection': 'boltzmann', 'use_external_archive': False, 'initializer': 'random', 'crossover': 'whole_arithmetic', 'crossover_prob': 0.935577512295424, 'mutation': 'gaussian', 'mutation_prob_factor': 1.7013315465286203, 'mutation_eta': 34.9887885583239, 'repair': 'random', 'archive_unbounded': True, 'archive_prune_policy': 'knn', 'selection_size': 7, 'crossover_eta': 25.161196893303767, 'crossover_alpha': 0.4933247881915316, 'blxab_alpha': 0.2389736264293345, 'blxab_beta': 0.26132404122971253, 'wa_alpha': 0.4193200674831731, 'laplace_a': 0.5002100232016964, 'laplace_b': 0.29194799815054046, 'fuzzy_d': 1.0622010970903142, 'pcx_sigma_eta': 0.05515767719372017, 'pcx_sigma_zeta': 0.24350511060444474, 'undx_zeta': 0.9944946851873433, 'undx_eta': 0.16973912218092133, 'simplex_epsilon': 0.33503344295487136, 'nonuniform_perturbation': 0.3299915548703993, 'gaussian_sigma': 0.27075656100500706, 'cauchy_gamma': 0.2057174907269991, 'uniform_perturb': 0.45437573265663855, 'levy_beta': 1.5361898882555636, 'levy_scale': 0.06564921397315694, 'power_index': 4.7579542516260585, 'scatter_base_size_factor': 0.5}","[{'step': 0, 'budget': 5000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:00:50.186908
zcat1,nsgaii,1,3,0.0,COMPLETE,hv,False,0.4084076569053817,0.34772799623767425,0.26510502773395045,undx,0.7593025956246435,7.719652869812456,0.7483334866076726,0.6257351451780993,0.29199352204804874,random,-0.3531116465019113,0.6486305228215796,1.8926971587580597,0.06195771656459686,uniform_reset,18.911224623297784,2.6081435375602813,0.3702567190427075,1.0,0.08913718796586877,0.20398668638687578,170,4.313994629371446,round,0.3,random,7,0.7986755627408373,0.8943606337675304,0.6205739327613964,0.27093437283419325,False,0.7634169220187844,"{'pop_size': 170, 'offspring_ratio': 1.0, 'selection': 'random', 'use_external_archive': False, 'initializer': 'random', 'crossover': 'undx', 'crossover_prob': 0.7483334866076726, 'mutation': 'uniform_reset', 'mutation_prob_factor': 2.6081435375602813, 'mutation_eta': 18.911224623297784, 'repair': 'round', 'archive_unbounded': False, 'archive_prune_policy': 'hv', 'selection_size': 7, 'crossover_eta': 7.719652869812456, 'crossover_alpha': 0.7593025956246435, 'blxab_alpha': 0.4084076569053817, 'blxab_beta': 0.34772799623767425, 'wa_alpha': 0.7634169220187844, 'laplace_a': -0.3531116465019113, 'laplace_b': 0.6486305228215796, 'fuzzy_d': 0.6257351451780993, 'pcx_sigma_eta': 0.08913718796586877, 'pcx_sigma_zeta': 0.20398668638687578, 'undx_zeta': 0.6205739327613964, 'undx_eta': 0.8943606337675304, 'simplex_epsilon': 0.7986755627408373, 'nonuniform_perturbation': 0.3702567190427075, 'gaussian_sigma': 0.29199352204804874, 'cauchy_gamma': 0.26510502773395045, 'uniform_perturb': 0.27093437283419325, 'levy_beta': 1.8926971587580597, 'levy_scale': 0.06195771656459686, 'power_index': 4.313994629371446, 'scatter_base_size_factor': 0.3}","[{'step': 0, 'budget': 5000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:00:25.359026
zcat1,nsgaii,1,4,0.23727887690069552,COMPLETE,hv,False,0.07575437417577435,0.18289104334378437,0.1832621346445879,blx_alpha,0.5369475888298305,25.639724693607796,0.8705453098844307,0.7633672057465,0.42768818261211444,scatter,0.07911461077479642,0.24685248507314309,1.9901947114975482,0.08984198824510453,power_law,35.08405282558569,1.1308994025937775,0.17483553988032674,0.0,0.14209362591100297,0.3003391665893207,39,1.4415422188037914,random,0.3,ranking,2,0.5305474438892976,0.4488778832703254,0.20918556448319636,0.04463076354125211,True,0.6967483482727662,"{'pop_size': 39, 'offspring_ratio': 0, 'selection': 'ranking', 'use_external_archive': True, 'initializer': 'scatter', 'crossover': 'blx_alpha', 'crossover_prob': 0.8705453098844307, 'mutation': 'power_law', 'mutation_prob_factor': 1.1308994025937775, 'mutation_eta': 35.08405282558569, 'repair': 'random', 'archive_unbounded': False, 'archive_prune_policy': 'hv', 'selection_size': 2, 'crossover_eta': 25.639724693607796, 'crossover_alpha': 0.5369475888298305, 'blxab_alpha': 0.07575437417577435, 'blxab_beta': 0.18289104334378437, 'wa_alpha': 0.6967483482727662, 'laplace_a': 0.07911461077479642, 'laplace_b': 0.24685248507314309, 'fuzzy_d': 0.7633672057465, 'pcx_sigma_eta': 0.14209362591100297, 'pcx_sigma_zeta': 0.3003391665893207, 'undx_zeta': 0.20918556448319636, 'undx_eta': 0.4488778832703254, 'simplex_epsilon': 0.5305474438892976, 'nonuniform_perturbation': 0.17483553988032674, 'gaussian_sigma': 0.42768818261211444, 'cauchy_gamma': 0.1832621346445879, 'uniform_perturb': 0.04463076354125211, 'levy_beta': 1.9901947114975482, 'levy_scale': 0.08984198824510453, 'power_index': 1.4415422188037914, 'scatter_base_size_factor': 0.3}","[{'step': 0, 'budget': 5000, 'score': 0.21465469966297557, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.23030115702175702, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.23727887690069552, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:05:18.756541
zcat1,nsgaii,1,5,0.06594722353920797,COMPLETE,crowding,False,0.6477427397988006,0.692975086583058,0.18763128036078663,undx,0.5518707784571232,31.27427655278502,0.6427358036450004,0.21678765618426832,0.21519201010676828,sobol,-0.1649856678909436,0.5896451865734075,0.8141852630384846,0.038084112496368366,non_uniform,30.739340638679284,1.4905830676322829,0.1370953078488624,0.0,0.059997272625152066,0.3825906842945755,63,4.435840686365244,round,1.0,sus,2,0.3876561071892175,0.9703563171437282,0.4265993337309518,0.38971072425150893,True,0.7010106956883797,"{'pop_size': 63, 'offspring_ratio': 0, 'selection': 'sus', 'use_external_archive': True, 'initializer': 'sobol', 'crossover': 'undx', 'crossover_prob': 0.6427358036450004, 'mutation': 'non_uniform', 'mutation_prob_factor': 1.4905830676322829, 'mutation_eta': 30.739340638679284, 'repair': 'round', 'archive_unbounded': False, 'archive_prune_policy': 'crowding', 'selection_size': 2, 'crossover_eta': 31.27427655278502, 'crossover_alpha': 0.5518707784571232, 'blxab_alpha': 0.6477427397988006, 'blxab_beta': 0.692975086583058, 'wa_alpha': 0.7010106956883797, 'laplace_a': -0.1649856678909436, 'laplace_b': 0.5896451865734075, 'fuzzy_d': 0.21678765618426832, 'pcx_sigma_eta': 0.059997272625152066, 'pcx_sigma_zeta': 0.3825906842945755, 'undx_zeta': 0.4265993337309518, 'undx_eta': 0.9703563171437282, 'simplex_epsilon': 0.3876561071892175, 'nonuniform_perturbation': 0.1370953078488624, 'gaussian_sigma': 0.21519201010676828, 'cauchy_gamma': 0.18763128036078663, 'uniform_perturb': 0.38971072425150893, 'levy_beta': 0.8141852630384846, 'levy_scale': 0.038084112496368366, 'power_index': 4.435840686365244, 'scatter_base_size_factor': 1.0}","[{'step': 0, 'budget': 5000, 'score': 0.06537593563141152, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.06594722353920797, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.06594722353920797, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:03:04.684314
zcat1,nsgaii,1,6,0.2541695525388979,COMPLETE,maxmin,True,0.07718211650904394,0.43088583394418356,0.4542721295761327,sbx,0.36948751841965666,28.108794409581552,0.8545733348009479,1.7324334710784104,0.29621966947068096,lhs,-0.06436317527084379,0.684482459359003,1.1334782040259808,0.02839737369699843,uniform_reset,12.874126418686366,0.3889350581682463,0.20820035215904342,0.25,0.03531959404050338,0.25406479081500755,44,0.9765680032809835,clip,0.75,boltzmann,5,0.3244133705154124,0.48238640408461453,0.719682930114503,0.42243811592472114,True,0.502898709752508,"{'pop_size': 44, 'offspring_ratio': 0.25, 'selection': 'boltzmann', 'use_external_archive': True, 'initializer': 'lhs', 'crossover': 'sbx', 'crossover_prob': 0.8545733348009479, 'mutation': 'uniform_reset', 'mutation_prob_factor': 0.3889350581682463, 'mutation_eta': 12.874126418686366, 'repair': 'clip', 'archive_unbounded': True, 'archive_prune_policy': 'maxmin', 'selection_size': 5, 'crossover_eta': 28.108794409581552, 'crossover_alpha': 0.36948751841965666, 'blxab_alpha': 0.07718211650904394, 'blxab_beta': 0.43088583394418356, 'wa_alpha': 0.502898709752508, 'laplace_a': -0.06436317527084379, 'laplace_b': 0.684482459359003, 'fuzzy_d': 1.7324334710784104, 'pcx_sigma_eta': 0.03531959404050338, 'pcx_sigma_zeta': 0.25406479081500755, 'undx_zeta': 0.719682930114503, 'undx_eta': 0.48238640408461453, 'simplex_epsilon': 0.3244133705154124, 'nonuniform_perturbation': 0.20820035215904342, 'gaussian_sigma': 0.29621966947068096, 'cauchy_gamma': 0.4542721295761327, 'uniform_perturb': 0.42243811592472114, 'levy_beta': 1.1334782040259808, 'levy_scale': 0.02839737369699843, 'power_index': 0.9765680032809835, 'scatter_base_size_factor': 0.75}","[{'step': 0, 'budget': 5000, 'score': 0.2221955037036327, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.24779241115816628, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.2541695525388979, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:02:55.744590
zcat1,nsgaii,1,7,0.0438154597959935,COMPLETE,hv,False,0.15144190695970605,0.6083529052050483,0.30552248337791,blx_alpha_beta,0.3448309982981468,31.774008766096017,0.7445127010377134,1.5027759176480253,0.0879026754129872,sobol,0.7248231977106403,1.3545094216045122,1.5040367357169777,0.05351004156665569,levy_flight,24.52538834709027,2.333127995955334,0.37957599130721414,0.25,0.11861143444832155,0.4788461993892429,107,4.810007041630427,reflect,1.0,ranking,4,0.8128554166242551,0.4074004514470697,0.9671807348926356,0.05022593987721577,False,0.6780650514519898,"{'pop_size': 107, 'offspring_ratio': 0.25, 'selection': 'ranking', 'use_external_archive': False, 'initializer': 'sobol', 'crossover': 'blx_alpha_beta', 'crossover_prob': 0.7445127010377134, 'mutation': 'levy_flight', 'mutation_prob_factor': 2.333127995955334, 'mutation_eta': 24.52538834709027, 'repair': 'reflect', 'archive_unbounded': False, 'archive_prune_policy': 'hv', 'selection_size': 4, 'crossover_eta': 31.774008766096017, 'crossover_alpha': 0.3448309982981468, 'blxab_alpha': 0.15144190695970605, 'blxab_beta': 0.6083529052050483, 'wa_alpha': 0.6780650514519898, 'laplace_a': 0.7248231977106403, 'laplace_b': 1.3545094216045122, 'fuzzy_d': 1.5027759176480253, 'pcx_sigma_eta': 0.11861143444832155, 'pcx_sigma_zeta': 0.4788461993892429, 'undx_zeta': 0.9671807348926356, 'undx_eta': 0.4074004514470697, 'simplex_epsilon': 0.8128554166242551, 'nonuniform_perturbation': 0.37957599130721414, 'gaussian_sigma': 0.0879026754129872, 'cauchy_gamma': 0.30552248337791, 'uniform_perturb': 0.05022593987721577, 'levy_beta': 1.5040367357169777, 'levy_scale': 0.05351004156665569, 'power_index': 4.810007041630427, 'scatter_base_size_factor': 1.0}","[{'step': 0, 'budget': 5000, 'score': 0.0, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.013015662245569415, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.0438154597959935, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:01:32.170856
zcat1,nsgaii,1,8,0.1769876882614122,COMPLETE,maxmin,False,0.671448259468043,0.23576505594338448,0.4316943081732999,laplace,0.9037879440207637,13.610045148350414,0.6260117092692503,0.5455983948003262,0.2241066729293639,scatter,0.9082372404302317,1.4024746280436546,1.4032099898261396,0.037810704260421206,non_uniform,17.032541655693777,1.0546775560795245,0.30079840875894526,0.0,0.4008711974686409,0.4645826974784506,53,1.511183655899318,random,0.3,sus,2,0.7906976095402858,0.686010254824105,0.8324471276355013,0.39849472958680243,True,0.7830346108166734,"{'pop_size': 53, 'offspring_ratio': 0, 'selection': 'sus', 'use_external_archive': True, 'initializer': 'scatter', 'crossover': 'laplace', 'crossover_prob': 0.6260117092692503, 'mutation': 'non_uniform', 'mutation_prob_factor': 1.0546775560795245, 'mutation_eta': 17.032541655693777, 'repair': 'random', 'archive_unbounded': False, 'archive_prune_policy': 'maxmin', 'selection_size': 2, 'crossover_eta': 13.610045148350414, 'crossover_alpha': 0.9037879440207637, 'blxab_alpha': 0.671448259468043, 'blxab_beta': 0.23576505594338448, 'wa_alpha': 0.7830346108166734, 'laplace_a': 0.9082372404302317, 'laplace_b': 1.4024746280436546, 'fuzzy_d': 0.5455983948003262, 'pcx_sigma_eta': 0.4008711974686409, 'pcx_sigma_zeta': 0.4645826974784506, 'undx_zeta': 0.8324471276355013, 'undx_eta': 0.686010254824105, 'simplex_epsilon': 0.7906976095402858, 'nonuniform_perturbation': 0.30079840875894526, 'gaussian_sigma': 0.2241066729293639, 'cauchy_gamma': 0.4316943081732999, 'uniform_perturb': 0.39849472958680243, 'levy_beta': 1.4032099898261396, 'levy_scale': 0.037810704260421206, 'power_index': 1.511183655899318, 'scatter_base_size_factor': 0.3}","[{'step': 0, 'budget': 5000, 'score': 0.05547957772212233, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.14910630112192527, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.1769876882614122, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:08:48.685784
zcat1,nsgaii,1,9,0.203914182497707,COMPLETE,ref_dirs,False,0.9594151318249751,0.05215145863241921,0.4062432575305759,whole_arithmetic,0.8737133419931433,18.758835726791894,0.9519503182582021,0.40025592445600244,0.23007072990669572,obl,-0.8768783365329507,0.30662001896143326,1.4150238621715838,0.04456111475664297,levy_flight,21.9319486638068,2.3535546911104754,0.3699355563947058,1.0,0.17771579476863522,0.265230480798503,112,1.3259191579526308,midpoint,1.0,ranking,2,0.39697911091682103,0.5211767170808336,0.7878938996563253,0.2783813563555917,True,0.1786933131141588,"{'pop_size': 112, 'offspring_ratio': 1.0, 'selection': 'ranking', 'use_external_archive': True, 'initializer': 'obl', 'crossover': 'whole_arithmetic', 'crossover_prob': 0.9519503182582021, 'mutation': 'levy_flight', 'mutation_prob_factor': 2.3535546911104754, 'mutation_eta': 21.9319486638068, 'repair': 'midpoint', 'archive_unbounded': False, 'archive_prune_policy': 'ref_dirs', 'selection_size': 2, 'crossover_eta': 18.758835726791894, 'crossover_alpha': 0.8737133419931433, 'blxab_alpha': 0.9594151318249751, 'blxab_beta': 0.05215145863241921, 'wa_alpha': 0.1786933131141588, 'laplace_a': -0.8768783365329507, 'laplace_b': 0.30662001896143326, 'fuzzy_d': 0.40025592445600244, 'pcx_sigma_eta': 0.17771579476863522, 'pcx_sigma_zeta': 0.265230480798503, 'undx_zeta': 0.7878938996563253, 'undx_eta': 0.5211767170808336, 'simplex_epsilon': 0.39697911091682103, 'nonuniform_perturbation': 0.3699355563947058, 'gaussian_sigma': 0.23007072990669572, 'cauchy_gamma': 0.4062432575305759, 'uniform_perturb': 0.2783813563555917, 'levy_beta': 1.4150238621715838, 'levy_scale': 0.04456111475664297, 'power_index': 1.3259191579526308, 'scatter_base_size_factor': 1.0}","[{'step': 0, 'budget': 5000, 'score': 0.002495169927452874, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 1, 'budget': 10000, 'score': 0.11883189429225614, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}, {'step': 2, 'budget': 15000, 'score': 0.203914182497707, 'instances_used': 1, 'instances_total': 1, 'seeds_used': 3, 'seeds_total': 3}]",0 days 00:00:44.702987
