sampler,problem,hv_final,target_hv_95pct,trials_al_95pct,minutos_al_95pct
cmaes,zcat1,0.254027,0.241325,1,1.355
cmaes,zcat10,0.112726,0.10709,3,6.668
cmaes,zcat11,0.210841,0.200299,2,1.569
cmaes,zcat12,0.195056,0.185304,0,0.487
cmaes,zcat13,0.249413,0.236943,8,39.628
cmaes,zcat14,0.135265,0.128502,1,1.028
cmaes,zcat15,0.196426,0.186605,1,1.681
cmaes,zcat16,0.137158,0.1303,3,2.692
cmaes,zcat17,0.889857,0.845364,2,3.996
cmaes,zcat18,0.142671,0.135537,9,22.127
cmaes,zcat19,0.263341,0.250174,21,20.612
cmaes,zcat2,0.623258,0.592095,0,0.845
cmaes,zcat20,0.141828,0.134736,13,17.669
cmaes,zcat3,0.248617,0.236186,9,12.434
cmaes,zcat4,0.248568,0.23614,0,0.523
cmaes,zcat5,0.887613,0.843232,7,7.808
cmaes,zcat6,0.60591,0.575615,2,24.448
cmaes,zcat7,0.14406,0.136857,21,28.924
cmaes,zcat8,0.121219,0.115158,3,2.586
cmaes,zcat9,0.122737,0.1166,3,4.967
gp,zcat1,0.254272,0.241558,8,6.221
gp,zcat10,0.108723,0.103287,0,1.447
gp,zcat11,0.215117,0.204361,7,22.746
gp,zcat12,0.200905,0.190859,7,7.519
gp,zcat13,0.234134,0.222427,6,12.836
gp,zcat14,0.135041,0.128289,5,16.51
gp,zcat15,0.201191,0.191131,3,5.833
gp,zcat16,0.13421,0.127499,9,9.588
gp,zcat17,0.891234,0.846672,2,3.383
gp,zcat18,0.115172,0.109413,7,7.024
gp,zcat19,0.263406,0.250235,8,18.675
gp,zcat2,0.620386,0.589367,4,6.614
gp,zcat20,0.142605,0.135475,16,54.108
gp,zcat3,0.252269,0.239656,6,13.25
gp,zcat4,0.253271,0.240607,1,1.066
gp,zcat5,0.877704,0.833819,1,2.358
gp,zcat6,0.604437,0.574215,4,6.301
gp,zcat7,0.14484,0.137598,1,1.384
gp,zcat8,0.123539,0.117362,21,26.51
gp,zcat9,0.121795,0.115706,6,4.906
nsgaii,zcat1,0.256574,0.243745,0,2.415
nsgaii,zcat10,0.112842,0.1072,6,5.487
nsgaii,zcat11,0.214032,0.20333,6,7.138
nsgaii,zcat12,0.197902,0.188007,2,2.564
nsgaii,zcat13,0.249635,0.237154,6,19.042
nsgaii,zcat14,0.133342,0.126675,1,1.04
nsgaii,zcat15,0.196007,0.186206,11,11.253
nsgaii,zcat16,0.130626,0.124094,6,6.799
nsgaii,zcat17,0.892965,0.848317,2,1.663
nsgaii,zcat18,0.139526,0.13255,1,2.794
nsgaii,zcat19,0.259919,0.246923,0,0.706
nsgaii,zcat2,0.620927,0.589881,0,2.614
nsgaii,zcat20,0.140924,0.133877,6,4.958
nsgaii,zcat3,0.25231,0.239694,23,36.267
nsgaii,zcat4,0.25076,0.238222,12,14.259
nsgaii,zcat5,0.890771,0.846233,0,7.094
nsgaii,zcat6,0.604576,0.574348,2,2.033
nsgaii,zcat7,0.141268,0.134204,7,7.235
nsgaii,zcat8,0.122333,0.116216,0,0.657
nsgaii,zcat9,0.123061,0.116908,9,10.198
nsgaiii,zcat1,0.253001,0.240351,12,12.406
nsgaiii,zcat10,0.112205,0.106595,5,5.922
nsgaiii,zcat11,0.210936,0.20039,3,8.929
nsgaiii,zcat12,0.198601,0.188671,30,24.326
nsgaiii,zcat13,0.248369,0.235951,4,5.415
nsgaiii,zcat14,0.133016,0.126365,9,11.218
nsgaiii,zcat15,0.195641,0.185859,4,9.513
nsgaiii,zcat16,0.133235,0.126573,0,0.912
nsgaiii,zcat17,0.887964,0.843566,0,1.423
nsgaiii,zcat18,0.142501,0.135376,7,5.286
nsgaiii,zcat19,0.263419,0.250248,0,2.081
nsgaiii,zcat2,0.621137,0.59008,1,13.326
nsgaiii,zcat20,0.135047,0.128294,3,10.921
nsgaiii,zcat3,0.250485,0.237961,3,16.324
nsgaiii,zcat4,0.259735,0.246748,48,40.855
nsgaiii,zcat5,0.893543,0.848866,0,2.22
nsgaiii,zcat6,0.603724,0.573538,1,10.507
nsgaiii,zcat7,0.141641,0.134559,0,1.433
nsgaiii,zcat8,0.12114,0.115083,11,10.8
nsgaiii,zcat9,0.122428,0.116307,4,6.37
qmc,zcat1,0.251419,0.238848,1,4.006
qmc,zcat10,0.11038,0.104861,0,0.547
qmc,zcat11,0.216718,0.205882,9,18.137
qmc,zcat12,0.193614,0.183934,7,11.606
qmc,zcat13,0.252531,0.239904,4,14.875
qmc,zcat14,0.135393,0.128623,8,8.855
qmc,zcat15,0.199463,0.18949,1,2.092
qmc,zcat16,0.132802,0.126162,5,8.892
qmc,zcat17,0.887328,0.842961,1,4.546
qmc,zcat18,0.141396,0.134326,5,16.154
qmc,zcat19,0.26172,0.248634,9,22.124
qmc,zcat2,0.619467,0.588493,8,10.871
qmc,zcat20,0.143755,0.136568,3,10.805
qmc,zcat3,0.252311,0.239696,26,30.592
qmc,zcat4,0.247981,0.235582,2,5.214
qmc,zcat5,0.882565,0.838437,2,2.132
qmc,zcat6,0.605453,0.57518,1,2.125
qmc,zcat7,0.143056,0.135903,8,30.268
qmc,zcat8,0.122393,0.116274,23,33.4
qmc,zcat9,0.119999,0.113999,13,26.17
random,zcat1,0.251604,0.239024,14,17.4
random,zcat10,0.112053,0.10645,2,3.198
random,zcat11,0.212445,0.201823,10,8.876
random,zcat12,0.190232,0.18072,8,5.016
random,zcat13,0.249521,0.237045,1,0.926
random,zcat14,0.135172,0.128413,5,6.445
random,zcat15,0.196771,0.186933,4,8.657
random,zcat16,0.135236,0.128475,6,8.834
random,zcat17,0.893317,0.848651,3,3.693
random,zcat18,0.143245,0.136083,24,37.989
random,zcat19,0.26094,0.247893,11,10.174
random,zcat2,0.621109,0.590053,0,0.699
random,zcat20,0.144725,0.137489,1,2.323
random,zcat3,0.251813,0.239222,5,17.952
random,zcat4,0.252555,0.239927,2,3.3
random,zcat5,0.890615,0.846084,0,0.735
random,zcat6,0.603466,0.573293,7,9.133
random,zcat7,0.140772,0.133734,10,11.62
random,zcat8,0.12236,0.116242,6,12.24
random,zcat9,0.11879,0.112851,29,47.43
tpe,zcat1,0.254913,0.242168,2,2.63
tpe,zcat10,0.113323,0.107656,2,2.965
tpe,zcat11,0.215173,0.204415,7,11.049
tpe,zcat12,0.201214,0.191153,12,10.745
tpe,zcat13,0.248012,0.235612,41,74.966
tpe,zcat14,0.136488,0.129663,10,39.844
tpe,zcat15,0.199297,0.189332,10,8.843
tpe,zcat16,0.133668,0.126985,3,2.543
tpe,zcat17,0.891559,0.846981,0,1.831
tpe,zcat18,0.14389,0.136696,3,2.254
tpe,zcat19,0.260647,0.247615,13,11.193
tpe,zcat2,0.623826,0.592635,6,14.012
tpe,zcat20,0.144227,0.137016,7,8.909
tpe,zcat3,0.258108,0.245203,16,13.018
tpe,zcat4,0.255355,0.242587,0,5.974
tpe,zcat5,0.893117,0.848462,3,4.314
tpe,zcat6,0.60706,0.576707,4,7.577
tpe,zcat7,0.144384,0.137165,13,26.933
tpe,zcat8,0.123224,0.117063,1,2.715
tpe,zcat9,0.120987,0.114937,0,1.428
