hiperparametro,valor_recomendado
archive_unbounded,1.0
blxab_alpha,0.42618396752392357
blxab_beta,0.49152456001245254
cauchy_gamma,0.22568965291547174
crossover_alpha,0.5618988245561435
crossover_eta,18.38102250010688
crossover_prob,0.8381822999617508
fuzzy_d,0.9367390975909354
gaussian_sigma,0.29309724203095633
laplace_a,-0.0026206780150503373
laplace_b,0.8828931461345244
levy_beta,1.2288896329743824
levy_scale,0.05037374964200571
mutation_eta,21.89972883315167
mutation_prob_factor,1.302229928173694
nonuniform_perturbation,0.2709788213375459
offspring_ratio,0.25
pcx_sigma_eta,0.2220661925717784
pcx_sigma_zeta,0.25670407564985515
pop_size,52.5
power_index,2.3564424285335783
scatter_base_size_factor,0.5
selection_size,6.0
simplex_epsilon,0.49137342646363036
undx_eta,0.5535623825320934
undx_zeta,0.5513717508035407
uniform_perturb,0.2412220147530575
use_external_archive,1.0
wa_alpha,0.501449354876254
archive_prune_policy,hv
crossover,sbx
initializer,obl
mutation,linked_polynomial
repair,reflect
selection,tournament
