problem,sampler,param,importance
zcat1,nsgaii,repair,0.4357986987661683
zcat1,nsgaii,power_index,0.1903738079483433
zcat1,nsgaii,initializer,0.06361959544961504
zcat1,nsgaii,uniform_perturb,0.03798718344737375
zcat1,nsgaii,wa_alpha,0.031968760543834726
zcat1,nsgaii,undx_zeta,0.031252577726535447
zcat1,nsgaii,crossover,0.030385155012234565
zcat1,nsgaii,crossover_eta,0.024697585030641313
zcat1,nsgaii,simplex_epsilon,0.021735314993605835
zcat1,nsgaii,crossover_prob,0.02024007948113806
zcat1,nsgaii,mutation,0.020089466136518068
zcat1,nsgaii,fuzzy_d,0.01813386902485457
zcat1,nsgaii,archive_prune_policy,0.013628332121958983
zcat1,nsgaii,blxab_beta,0.011062030864983653
zcat1,nsgaii,blxab_alpha,0.010017030466306994
zcat1,nsgaii,scatter_base_size_factor,0.008196576353771154
zcat1,nsgaii,levy_beta,0.006227207671241226
zcat1,nsgaii,selection,0.003905139209067044
zcat1,nsgaii,mutation_eta,0.003797166617166068
zcat1,nsgaii,pcx_sigma_eta,0.0032870347186080766
zcat1,nsgaii,offspring_ratio,0.0029762406202268306
zcat1,nsgaii,gaussian_sigma,0.0023404450307118073
zcat1,nsgaii,crossover_alpha,0.001647907595666993
zcat1,nsgaii,nonuniform_perturbation,0.0014671031471883945
zcat1,nsgaii,mutation_prob_factor,0.0010320613740019782
zcat1,nsgaii,pcx_sigma_zeta,0.0007775566020716061
zcat1,nsgaii,levy_scale,0.0005939591100483395
zcat1,nsgaii,use_external_archive,0.0005765143285049209
zcat1,nsgaii,laplace_a,0.0004628690354592222
zcat1,nsgaii,selection_size,0.0004335018812576428
zcat1,nsgaii,laplace_b,0.00040833334722043544
zcat1,nsgaii,cauchy_gamma,0.0003672105527206043
zcat1,nsgaii,pop_size,0.0003051113131315812
zcat1,nsgaii,undx_eta,0.00015598894483276454
zcat1,nsgaii,archive_unbounded,5.258553299088796e-05
zcat1,tpe,pop_size,0.2776436823536505
zcat1,tpe,blxab_beta,0.2547151445515247
zcat1,tpe,selection_size,0.1228212830059152
zcat1,tpe,crossover_eta,0.10881886089964532
zcat1,tpe,laplace_a,0.057390624701663125
zcat1,tpe,crossover,0.03722587616680226
zcat1,tpe,blxab_alpha,0.03013157838212887
zcat1,tpe,mutation,0.025198996965253066
zcat1,tpe,pcx_sigma_eta,0.023779330554745823
zcat1,tpe,undx_eta,0.01671220427528622
zcat1,tpe,fuzzy_d,0.01520199366389469
zcat1,tpe,gaussian_sigma,0.004051754402217825
zcat1,tpe,cauchy_gamma,0.003763726616307732
zcat1,tpe,uniform_perturb,0.0037127817033805327
zcat1,tpe,repair,0.003372776090354212
zcat1,tpe,levy_scale,0.0032581721384261557
zcat1,tpe,crossover_prob,0.0015592869266687838
zcat1,tpe,selection,0.0015507391527755034
zcat1,tpe,nonuniform_perturbation,0.0011830683989212973
zcat1,tpe,initializer,0.001155111950093065
zcat1,tpe,simplex_epsilon,0.0011271078158705346
zcat1,tpe,use_external_archive,0.0009920916351636455
zcat1,tpe,wa_alpha,0.0007405278334759941
zcat1,tpe,levy_beta,0.0007062118197646096
zcat1,tpe,archive_unbounded,0.0006241877546180647
zcat1,tpe,undx_zeta,0.0005994064491478702
zcat1,tpe,mutation_eta,0.0003292507782689289
zcat1,tpe,laplace_b,0.0003200623828889085
zcat1,tpe,crossover_alpha,0.00030927605052693093
zcat1,tpe,mutation_prob_factor,0.0002864351521149594
zcat1,tpe,pcx_sigma_zeta,0.00023494948404253165
zcat1,tpe,power_index,0.00016975876145182208
zcat1,tpe,scatter_base_size_factor,0.0001525336245387372
zcat1,tpe,archive_prune_policy,0.00011768125113524108
zcat1,tpe,offspring_ratio,4.35263073367111e-05
zcat10,tpe,uniform_perturb,0.23735553516055835
zcat10,tpe,simplex_epsilon,0.14820084735186104
zcat10,tpe,pop_size,0.1455855600133403
zcat10,tpe,undx_zeta,0.07112098836680537
zcat10,tpe,mutation_prob_factor,0.058901056170031905
zcat10,tpe,crossover,0.058250977530324495
zcat10,tpe,blxab_beta,0.04190257705675185
zcat10,tpe,use_external_archive,0.03631317015561827
zcat10,tpe,archive_prune_policy,0.032738698535125885
zcat10,tpe,laplace_b,0.02949414683575662
zcat10,tpe,power_index,0.025934336776162522
zcat10,tpe,wa_alpha,0.024878430844934105
zcat10,tpe,laplace_a,0.018453210564555803
zcat10,tpe,crossover_alpha,0.01623650744972076
zcat10,tpe,mutation_eta,0.012722654845845132
zcat10,tpe,levy_beta,0.008145494159033291
zcat10,tpe,pcx_sigma_eta,0.008018621115751585
zcat10,tpe,initializer,0.005134519006617898
zcat10,tpe,scatter_base_size_factor,0.004204022223476725
zcat10,tpe,gaussian_sigma,0.003627455059490299
zcat10,tpe,nonuniform_perturbation,0.0031428549727483485
zcat10,tpe,undx_eta,0.002625851253756487
zcat10,tpe,blxab_alpha,0.002606112318605963
zcat10,tpe,repair,0.0014427012949196256
zcat10,tpe,mutation,0.0008095390792530515
zcat10,tpe,pcx_sigma_zeta,0.0005659370523582568
zcat10,tpe,selection,0.0003913327013038747
zcat10,tpe,offspring_ratio,0.0002882721940645072
