problem,sampler_1,sampler_2,top_param_sampler_1,rank_of_that_param_in_sampler_2,overlap_top2_params
zcat1,nsgaii,tpe,repair,15,(ninguno)
zcat10,tpe,nsgaii,uniform_perturb,30,(ninguno)
zcat11,qmc,tpe,crossover,2,crossover
zcat12,tpe,gp,undx_zeta,25,(ninguno)
zcat13,qmc,nsgaii,repair,3,(ninguno)
zcat14,tpe,qmc,crossover,27,laplace_b
zcat15,gp,qmc,crossover_eta,21,(ninguno)
zcat16,cmaes,random,pop_size,9,(ninguno)
zcat17,random,nsgaii,crossover,2,crossover
zcat18,tpe,random,power_index,15,(ninguno)
zcat19,nsgaiii,gp,laplace_a,31,(ninguno)
zcat2,tpe,cmaes,nonuniform_perturbation,26,(ninguno)
zcat20,random,tpe,selection,14,(ninguno)
zcat3,tpe,qmc,blxab_alpha,33,(ninguno)
zcat4,nsgaiii,tpe,undx_zeta,24,(ninguno)
zcat5,nsgaiii,tpe,repair,24,(ninguno)
zcat6,tpe,cmaes,blxab_alpha,22,(ninguno)
zcat7,gp,tpe,pcx_sigma_eta,27,(ninguno)
zcat8,gp,tpe,wa_alpha,13,(ninguno)
zcat9,nsgaii,cmaes,simplex_epsilon,4,(ninguno)
