problem,sampler,study_name,n_trials_total,n_trials_completed,best_hv,mean_trial_duration_s,total_duration_s
zcat1,nsgaii,nsgaii_zcat1_s3,50,26,0.2565736418964179,120.59445926923078,3135.455941
zcat1,tpe,tpe_zcat1_s3,50,29,0.25491320823892977,181.2580836551724,5256.484426
zcat10,tpe,tpe_zcat10_s3,50,28,0.11332254021131404,75.30807521428571,2108.6261059999997
zcat10,nsgaii,nsgaii_zcat10_s3,50,29,0.11284162683169484,105.44596013793104,3057.932844
zcat11,qmc,qmc_zcat11_s3,50,23,0.21671787735289794,103.20952334782609,2373.819037
zcat11,tpe,tpe_zcat11_s3,50,38,0.21517336331610623,83.1330472894737,3159.0557970000004
zcat12,tpe,tpe_zcat12_s3,50,36,0.20121386940400351,83.40839169444443,3002.7021009999994
zcat12,gp,gp_zcat12_s3,50,37,0.20090456719868524,85.42460464864867,3160.7103720000005
zcat13,qmc,qmc_zcat13_s3,50,24,0.2525310473321809,95.64176158333332,2295.4022779999996
zcat13,nsgaii,nsgaii_zcat13_s3,50,22,0.24963535389252753,120.65953281818183,2654.5097220000002
zcat14,tpe,tpe_zcat14_s3,50,34,0.13648766263651532,148.9154265882353,5063.124504
zcat14,qmc,qmc_zcat14_s3,50,20,0.13539284373387825,96.23794775000002,1924.7589550000002
zcat15,gp,gp_zcat15_s3,50,34,0.20119071915160947,52.919861499999996,1799.275291
zcat15,qmc,qmc_zcat15_s3,50,21,0.19946263556724417,111.21498895238095,2335.514768
zcat16,cmaes,cmaes_zcat16_s3,50,29,0.1371575828798688,108.27859589655174,3140.0792810000003
zcat16,random,random_zcat16_s3,50,31,0.1352363564462045,98.44469941935485,3051.785682
zcat17,random,random_zcat17_s3,50,24,0.8933172600421025,78.56907166666666,1885.65772
zcat17,nsgaii,nsgaii_zcat17_s3,50,29,0.8929647857324471,92.24312606896551,2675.050656
zcat18,tpe,tpe_zcat18_s3,50,27,0.14389034821472083,43.03538022222222,1161.955266
zcat18,random,random_zcat18_s3,50,31,0.14324487303434344,110.6216862580645,3429.2722739999995
zcat19,nsgaiii,nsgaiii_zcat19_s3,50,24,0.26341924413888546,72.728988875,1745.495733
zcat19,gp,gp_zcat19_s3,50,38,0.26340554277516387,234.78500194736841,8921.830074
zcat2,tpe,tpe_zcat2_s3,50,36,0.6238263938892293,74.66729369444445,2688.022573
zcat2,cmaes,cmaes_zcat2_s3,50,24,0.6232583728426674,82.43981720833334,1978.555613
zcat20,random,random_zcat20_s3,50,38,0.14472487791104435,122.51727239473684,4655.656351
zcat20,tpe,tpe_zcat20_s3,50,34,0.1442269791229324,65.81273870588235,2237.633116
zcat3,tpe,tpe_zcat3_s3,50,39,0.25810805908163764,162.62153105128206,6342.239711
zcat3,qmc,qmc_zcat3_s3,50,27,0.25231129132970104,148.4422838148148,4007.9416629999996
zcat4,nsgaiii,nsgaiii_zcat4_s3,50,23,0.25973522899700496,106.57836460869565,2451.302386
zcat4,tpe,tpe_zcat4_s3,50,39,0.25535526259090174,138.84901343589743,5415.111524
zcat5,nsgaiii,nsgaiii_zcat5_s3,50,27,0.8935433891188542,143.4299967037037,3872.6099109999996
zcat5,tpe,tpe_zcat5_s3,50,29,0.8931173820852236,79.86696272413793,2316.141919
zcat6,tpe,tpe_zcat6_s3,50,30,0.6070604658130324,67.40305346666666,2022.091604
zcat6,cmaes,cmaes_zcat6_s3,50,21,0.605910421445884,173.71668166666666,3648.050315
zcat7,gp,gp_zcat7_s3,50,27,0.14484000256420596,388.711478,10495.209906
zcat7,tpe,tpe_zcat7_s3,50,31,0.14438384424619374,105.86495606451614,3281.813638
zcat8,gp,gp_zcat8_s3,50,46,0.12353876725119582,121.64788408695652,5595.802668
zcat8,tpe,tpe_zcat8_s3,50,35,0.12322388197779029,189.18215899999998,6621.375564999999
zcat9,nsgaii,nsgaii_zcat9_s3,50,26,0.12306082473855211,56.053274230769226,1457.38513
zcat9,cmaes,cmaes_zcat9_s3,50,28,0.12273666092391962,112.33432564285714,3145.361118
