sampler,problem,n_trials,hv,mean_value,std_value,total_duration,mean_trial_duration,hv_norm,rank
cmaes,zcat1,50,0.2540266088884752,0.1531230478264988,0.0898243508241727,4518.993983,90.379879,0.5059143516915199,4.0
cmaes,zcat10,50,0.1127264025706707,0.0684602499515643,0.0407457622481938,5614.772873,112.295457,0.8703929396811908,3.0
cmaes,zcat11,50,0.2108409724682626,0.1174300463526068,0.0773706946459373,4183.296339,83.665926,0.0,7.0
cmaes,zcat12,50,0.1950563228076279,0.127362269880124,0.0729568009563507,3571.041948,71.420838,0.43929389793378837,5.0
cmaes,zcat13,50,0.2494134592840486,0.1540642888955234,0.0937105631272643,5403.319708,108.066394,0.8305392158205938,4.0
cmaes,zcat14,50,0.1352651896786224,0.0823587514046049,0.0491089132283327,4918.164046,98.36328,0.6479000917132911,3.0
cmaes,zcat15,50,0.1964260721647474,0.1422601034928377,0.0631282246769111,4274.636075,85.492721,0.14152281251596216,5.0
cmaes,zcat16,50,0.1371575828798688,0.0716080234889098,0.0498945968530814,4815.814617,96.316292,1.0,1.0
cmaes,zcat17,50,0.8898567714110238,0.7443256910196899,0.1919167175613951,4569.72259,91.394451,0.42222839059336337,5.0
cmaes,zcat18,50,0.1426705145428105,0.0894582171956413,0.0512561676036643,5654.73503,113.0947,0.9575242891660111,3.0
cmaes,zcat19,50,0.2633414979380542,0.1744181363017139,0.0946987274228328,4517.829758,90.356595,0.9777896963902961,3.0
cmaes,zcat2,50,0.6232583728426674,0.488415743557502,0.1865357721769622,3906.527748,78.130554,0.8697077088478867,2.0
cmaes,zcat20,50,0.1418277430903627,0.0749401946056558,0.0531401614744972,4676.058934,93.521178,0.7006526140313665,5.0
cmaes,zcat3,50,0.2486166714108475,0.1692459498146001,0.0898848396028966,4883.180226,97.663604,0.0,7.0
cmaes,zcat4,50,0.2485683381493229,0.1808950556657413,0.0716445654977637,5024.526461,100.490529,0.04992784019892602,6.0
cmaes,zcat5,50,0.887612911780768,0.702962132227278,0.2007467164173248,4409.473639,88.189472,0.6255829930742176,5.0
cmaes,zcat6,50,0.605910421445884,0.5040818120292304,0.1694111223788879,5981.642634,119.632852,0.6800490382865102,2.0
cmaes,zcat7,50,0.144060313388583,0.0876011088694921,0.0536553417643839,5989.154739,119.783094,0.8083187296711263,3.0
cmaes,zcat8,50,0.1212189517411399,0.0858031316560348,0.0402086815118701,4727.862418,94.557248,0.03275445189256807,6.0
cmaes,zcat9,50,0.1227366609239196,0.0709719621091741,0.0420069268777025,5070.405607,101.408112,0.9240905959205308,2.0
gp,zcat1,54,0.2542716412702543,0.2168386714048107,0.078581751378415,3283.199128,65.663982,0.5534469053845248,3.0
gp,zcat10,50,0.1087229633119004,0.0869923954780913,0.0243533479922303,13902.377625,278.047552,0.0,7.0
gp,zcat11,50,0.215116699855918,0.1706393568777883,0.0627131875725846,14620.402437,292.408048,0.7275474882763439,3.0
gp,zcat12,50,0.2009045671986852,0.1369398096902635,0.0737624459579525,4692.270485,93.845409,0.971834945754763,2.0
gp,zcat13,50,0.2341339411035696,0.077170987011868,0.0742890220078179,10950.297297,219.005945,0.0,7.0
gp,zcat14,50,0.1350411110804554,0.1006764671843108,0.0387048421653646,14761.16389,295.223277,0.5833603787043441,5.0
gp,zcat15,50,0.2011907191516094,0.1621310231222756,0.0501309989818467,2599.069798,51.981395,1.0,1.0
gp,zcat16,50,0.1342098094163265,0.0642019949895722,0.032930379568234,18238.056723,364.761134,0.5487228216971825,3.0
gp,zcat17,50,0.8912339199131964,0.7700677233869804,0.2143240720528756,10323.977506,206.47955,0.6521604583788847,4.0
gp,zcat18,50,0.1151719666277033,0.0119589781255664,0.0320965310930558,13617.888714,272.357774,0.0,7.0
gp,zcat19,50,0.2634055427751638,0.1602654804001256,0.0834334975542628,13187.602446,263.752048,0.9960858351293048,2.0
gp,zcat2,50,0.620386033433335,0.0938098978183875,0.1714376195965862,18585.856372,371.717127,0.21085239904272424,6.0
gp,zcat20,50,0.1426048981498232,0.111540078392678,0.0434142553435812,18490.297113,369.805942,0.7809524101889592,4.0
gp,zcat3,50,0.2522691608447243,0.0653428265494322,0.0779273773162739,17714.329816,354.286596,0.3848214360811939,4.0
gp,zcat4,50,0.2532708258592021,0.2163384046203277,0.0498399934850778,1547.14077,30.942815,0.45001258320421067,3.0
gp,zcat5,50,0.8777041584525458,0.7940838554919002,0.1752109777141682,14995.88922,299.917784,0.0,7.0
gp,zcat6,50,0.6044369685433634,0.5528453430320203,0.1307039785886147,6973.633418,139.472668,0.27012339831318705,5.0
gp,zcat7,50,0.1448400025642059,0.108569239365978,0.0395347229694852,17858.6953,357.173906,1.0,1.0
gp,zcat8,50,0.1235387672511958,0.1021899675101085,0.02989561503268,5981.944507,119.63889,1.0,1.0
gp,zcat9,50,0.1217953354385091,0.1054938182727623,0.0274121012936191,3680.089962,73.601799,0.7036605126820932,4.0
nsgaii,zcat1,50,0.2565736418964179,0.1529278456595923,0.0893376193948901,6540.23718,130.804743,1.0,1.0
nsgaii,zcat10,50,0.1128416268316948,0.0657443122657808,0.0426689249915203,5263.689749,105.273794,0.8954439962335429,2.0
nsgaii,zcat11,50,0.2140316397102058,0.1199886683353775,0.0795750596456232,6792.705122,135.854102,0.5429162636756198,4.0
nsgaii,zcat12,50,0.1979023739795246,0.1196176922736917,0.0756888088134953,4849.696259,96.993925,0.6984552755861267,4.0
nsgaii,zcat13,50,0.2496353538925275,0.1369986626671877,0.0962726326801236,5644.94057,112.898811,0.8426006023083129,2.0
nsgaii,zcat14,50,0.1333418948038543,0.0805286222004834,0.0529497935823988,6339.186098,126.783721,0.09394759350722102,6.0
nsgaii,zcat15,50,0.1960065550778981,0.0930358100264988,0.0732124812059273,3768.072536,75.36145,0.06593571239859068,6.0
nsgaii,zcat16,50,0.1306255143302727,0.0703496356628268,0.0517083962650878,5127.890373,102.557807,0.0,7.0
nsgaii,zcat17,50,0.8929647857324471,0.7019461129224233,0.2313583244088091,5072.516581,101.450331,0.9411500308554273,2.0
nsgaii,zcat18,50,0.1395264969710155,0.0664247916222538,0.0501106010967411,5901.125349,118.022506,0.8480467560303593,6.0
nsgaii,zcat19,50,0.2599187876751923,0.159093903071802,0.0934996683675438,5354.36396,107.087279,0.0,7.0
nsgaii,zcat2,50,0.6209274609477814,0.4021778203790601,0.2379920821216387,5842.649153,116.852983,0.3350446834254884,5.0
nsgaii,zcat20,50,0.1409235629775586,0.0797788628938017,0.0465760634926002,4137.149709,82.742994,0.6072279134338795,6.0
nsgaii,zcat3,50,0.2523096478681341,0.1257598885757598,0.0955774360494584,4612.724462,92.254489,0.389087095099043,3.0
nsgaii,zcat4,50,0.2507604183653344,0.152941585863771,0.0927072751533336,6843.750196,136.875003,0.23642866784116823,5.0
nsgaii,zcat5,50,0.8907712252015744,0.714326048322162,0.2198628092131067,8661.874103,173.237482,0.8249811511883266,3.0
nsgaii,zcat6,50,0.6045763584520852,0.3924980690816456,0.2557698587400114,3817.805642,76.356112,0.3089027155488343,4.0
nsgaii,zcat7,50,0.1412677897075532,0.0791064387243079,0.0450831678325137,4341.886378,86.837727,0.12179581343900435,6.0
nsgaii,zcat8,50,0.1223327290507367,0.0704718767551733,0.0449749364462479,4859.008315,97.180166,0.49714316712476025,5.0
nsgaii,zcat9,50,0.1230608247385521,0.0718231211305518,0.0455674896310485,3290.804331,65.816086,1.0,1.0
nsgaiii,zcat1,50,0.2530006821060429,0.1779986235142744,0.0750126387168582,4412.85021,88.257004,0.3069001662316473,5.0
nsgaiii,zcat10,50,0.1122052082246374,0.054574114927252,0.0417832629581744,4367.457928,87.349158,0.7570793985814136,4.0
nsgaiii,zcat11,50,0.210936331174666,0.1171261777050052,0.0786455348208171,5267.459063,105.349181,0.016226008124226345,6.0
nsgaiii,zcat12,50,0.1986013966917582,0.1057350431931499,0.0739312899606098,5182.391716,103.647834,0.7621082734315605,3.0
nsgaiii,zcat13,50,0.2483692074184091,0.1475802329552443,0.0858415587678457,4340.530099,86.810601,0.773777470105636,5.0
nsgaiii,zcat14,50,0.1330157135416082,0.089506290840327,0.04090745331069,5259.258442,105.185168,0.0,7.0
nsgaiii,zcat15,50,0.1956406043013524,0.0948820985331071,0.0727450979117374,3662.69824,73.253964,0.0,7.0
nsgaiii,zcat16,50,0.1332349752858001,0.0721480878933525,0.0498361872015933,4411.041632,88.220832,0.39948462507925914,5.0
nsgaiii,zcat17,50,0.8879644339999843,0.6933991652827145,0.2269098144247643,5320.066035,106.40132,0.10627912790906732,6.0
nsgaiii,zcat18,50,0.142500713459439,0.0753608544652209,0.052473978539854,4142.098349,82.841966,0.9516116619917742,4.0
nsgaiii,zcat19,50,0.2634192441388854,0.163114588464438,0.0959243464945683,3693.6929,73.873858,1.0,1.0
nsgaiii,zcat2,50,0.6211367565846385,0.3900408808484042,0.2472540318088299,5707.111178,114.142223,0.383052777877814,3.0
nsgaiii,zcat20,50,0.1350467081441462,0.0705461715096174,0.049880174708337,5048.637565,100.972751,0.0,7.0
nsgaiii,zcat3,50,0.2504851233515645,0.1641634679501923,0.0858764034989355,4437.562885,88.751257,0.19685761508479577,6.0
nsgaiii,zcat4,50,0.2597352289970049,0.1518335122334936,0.0835804431308613,5167.634274,103.352685,1.0,1.0
nsgaiii,zcat5,50,0.8935433891188542,0.7548580564249043,0.1637331970486845,5256.258308,105.125166,1.0,1.0
nsgaiii,zcat6,50,0.6037241456048653,0.3967546458478354,0.2410748218936273,3977.250621,79.545012,0.07181071471698687,6.0
nsgaiii,zcat7,50,0.141640542513358,0.07961084945011,0.0569661576847845,5035.716973,100.714339,0.2134345504757688,5.0
nsgaiii,zcat8,50,0.1211403943513722,0.061918927500015,0.046555049626411,6045.151378,120.903027,0.0,7.0
nsgaiii,zcat9,50,0.1224281944193496,0.0736688821701718,0.0441065695897683,6527.493273,130.549865,0.8518570291760977,3.0
qmc,zcat1,50,0.2514185984000878,0.1469062633709257,0.0948934549918486,5518.169374,110.363387,0.0,7.0
qmc,zcat10,50,0.1103802974439708,0.0384205866351905,0.0413456390626216,3394.392457,67.887849,0.36032317065547975,6.0
qmc,zcat11,50,0.2167178773528979,0.1181514971754578,0.0799741333173262,5423.678673,108.473573,1.0,1.0
qmc,zcat12,50,0.1936142561253695,0.0897808421602953,0.0696927140347416,4776.228082,95.524561,0.3079793271590246,6.0
qmc,zcat13,50,0.2525310473321809,0.1232625705585861,0.0926683887354551,4515.945457,90.318909,1.0,1.0
qmc,zcat14,50,0.1353928437338782,0.0749409495095375,0.0506103902329045,4127.377435,82.547548,0.6846673517641535,2.0
qmc,zcat15,50,0.1994626355672441,0.095259410949813,0.075166908514517,6333.878533,126.67757,0.6886400316048814,2.0
qmc,zcat16,50,0.1328019749669042,0.0622581854994045,0.0475870841034768,4175.870673,83.517413,0.3331962333380743,6.0
qmc,zcat17,50,0.8873278888533164,0.729129764952393,0.2034537227114131,5230.833641,104.616672,0.0,7.0
qmc,zcat18,50,0.1413959209498751,0.0753892905549997,0.0545467802883569,7912.913456,158.258269,0.9131417883947426,5.0
qmc,zcat19,50,0.2617202987996546,0.1439489447336256,0.1004280288388264,7268.590098,145.371801,0.5146503443615578,4.0
qmc,zcat2,50,0.6194668032984184,0.3481210742522796,0.2395114306836183,5554.946867,111.098937,0.0,7.0
qmc,zcat20,50,0.1437554317395215,0.0758004302699486,0.0542629220601736,4648.009739,92.960194,0.8998316629205481,3.0
qmc,zcat3,50,0.252311291329701,0.1046170636322297,0.0975345056311503,6740.728798,134.814575,0.389260248027139,2.0
qmc,zcat4,50,0.2479814998381375,0.1092922027670109,0.0893761158222781,4946.536592,98.930731,0.0,7.0
qmc,zcat5,50,0.8825654036660894,0.7114996761213946,0.1844866639595298,5803.635635,116.072712,0.30691170019285857,6.0
qmc,zcat6,50,0.6054530921639579,0.4849976431473036,0.1895306768692257,6698.863071,133.977261,0.5528166046936972,3.0
qmc,zcat7,50,0.1430558976007207,0.0755846341993538,0.05459833911613,5292.021362,105.840427,0.5613899532109351,4.0
qmc,zcat8,50,0.1223932033461457,0.0590573322928589,0.04864169943456,7254.529691,145.090593,0.522357884741631,3.0
qmc,zcat9,50,0.1199991884168147,0.0638041533505095,0.0467642728600758,3687.096124,73.741922,0.2830569662606288,6.0
random,zcat1,50,0.2516043488638316,0.1564147412922005,0.0912862656809975,5202.439409,104.048788,0.036032763618006676,6.0
random,zcat10,50,0.1120526783323304,0.0575215703728003,0.0427615942054925,4458.05822,89.161164,0.723917676178979,5.0
